,CreationDate,text
0,2008-08-01T14:45:37Z, p a href http svnbook red bean com version control with subversion a p p a very good resource for source control in general not really tortoisesvn specific though p 
1,2008-08-01T16:09:47Z, p i wound up using this it is a kind of a hack but it actually works pretty well the only thing is you have to be very careful with your semicolons d p pre code var strsql string stream readutfbytes stream bytesavailable var i number var strsqlsplit array strsql split for i i lt strsqlsplit length i nonquery strsqlsplit i tostring code pre 
2,2008-08-01T19:36:46Z, p i ve read somewhere the human eye can t distinguish between less than values apart so this is something to keep in mind the following algorithm does not compensate for this p p i m not sure this is exactly what you want but this is one way to randomly generate non repeating color values p p beware inconsistent pseudo code ahead p pre code colors entered as r g b br colors holds final colors to be used br rand new random br br assumes n is less than br randomgen int n br while len colors lt n br generate a random number between for each color br newred rand next br newgreen rand next br newblue rand next br temp newred newgreen newblue br only adds new colors to the array br if temp not in colors br colors append temp br br br br code pre p one way you could optimize this for better visibility would be to compare the distance between each new color and all the colors in the array p pre code for item in color br itemsq item item item br tempsq temp temp temp br dist itemsq tempsq br dist abs dist br br number can be your chosen distance apart br if dist lt number and temp not in colors br colors append temp br br code pre p but this approach would significantly slow down your algorithm p p another way would be to scrap the randomness and systematically go through every values and add a color to an array in the above example p 
3,2008-08-01T23:49:57Z, p yes i thought about that but i soon figured out that another domain specific language dsl would be a bit too much p p essentially they need to interact with my gamestate in possibly unpredictable ways for example a card could have a rule when this cards enter play all your undead minions gain attack against flying enemies except when the enemy is blessed as trading card games are turn based the gamestate manager will fire onstagex events and let the cards modify other cards or the gamestate in whatever way the card needs p p if i try to create a dsl i have to implement a rather large feature set and possibly constantly update it which shifts the maintenance work to another part without actually removing it p p that s why i wanted to stay with a real net language to essentially be able to just fire the event and let the card manipulate the gamestate in whatever way within the limits of the code access security p 
4,2008-08-02T01:49:46Z, p a href http www codeproject com articles c script the missing puzzle piece oleg shilo s c script solution at the code project a really is a great introduction to providing script abilities in your application p p a different approach would be to consider a language that is specifically built for scripting such as a href http en wikipedia org wiki ironruby ironruby a a href http en wikipedia org wiki ironpython ironpython a or a href http en wikipedia org wiki lua_ programming_language lua a p p ironpython and ironruby are both available today p p for a guide to embedding ironpython read a href http blogs msdn com b jmstall archive howto embed ironpython aspx how to embed ironpython script support in your existing app in easy steps a p p lua is a scripting language commonly used in games there is a lua compiler for net available from codeplex a href http www codeplex com nua http www codeplex com nua a p p that codebase is a great read if you want to learn about building a compiler in net p p a different angle altogether is to try a href http en wikipedia org wiki windows_powershell powershell a there are numerous examples of embedding powershell into an application here s a thorough project on the topic a href http code msdn microsoft com powershelltunnel wiki view aspx title powershelltunnel reference powershell tunnel a p 
5,2008-08-02T03:00:24Z, p i would be a bit reluctant to use nested classes here what if you created an abstract base class for a multimedia driver to handle the back end stuff workhorse and a separate class for the front end work the front end class could take a pointer reference to an implemented driver class for the appropriate media type and situation and perform the abstract operations on the workhorse structure p p my philosophy would be to go ahead and make both structures accessible to the client in a polished way just under the assumption they would be used in tandem p p i would reference something like a a href http qt project org doc qt qtextdocument html qtextdocument a in qt you provide a direct interface to the bare metal data handling but pass the authority along to an object like a qtextedit to do the manipulation p 
6,2008-08-02T04:18:15Z, p you might be able to use ironruby for that p p otherwise i d suggest you have a directory where you place precompiled assemblies then you could have a reference in the db to the assembly and class and use reflection to load the proper assemblies at runtime p p if you really want to compile at run time you could use the codedom then you could use reflection to load the dynamic assembly a href http msdn microsoft com en us library microsoft csharp csharpcodeprovider aspx msdn article which might help a p 
7,2008-08-02T06:16:23Z, p you could use any of the dlr languages which provide a way to really easily host your own scripting platform however you don t have to use a scripting language for this you could use c and compile it with the c code provider as long as you load it in its own appdomain you can load and unload it to your heart s content p 
8,2008-08-02T15:33:13Z, p no what you re doing is fine don t let those people confuse you p p if you ve written the web services with net then the reference proxies generated by net are going to be quite suitable the situation you describe where you are both producer and consumer is the ideal situation p p if you need to connect to a web services that is em unknown em at compile time then you would want a more dynamic approach where you deduce the shape of the web service p p but start by using the auto generated proxy class and don t worry about it until you hit a limitation and when you do come back to stack overflow p 
9,2008-08-02T18:16:07Z, p isn t it also a factor which order you set up the colors p p like if you use dillie os idea you need to mix the colors as much as possible is from one to the next but in a wheel would be more apart p p does this make sense p 
10,2008-08-02T19:03:52Z, p my first thought on this is how generate n vectors in a space that maximize distance from each other you can see that the rgb or any other scale you use that forms a basis in color space are just vectors take a look at a href http mathworld wolfram com topics randompointpicking html random point picking a hope this is a good start for you once you have a set of vectors that are maximized a part you can save them in a hash table or something for later and just perform random rotations on them to get all the colors you desire that are maximally apart from each other p p strong edit strong thinking about this problem more it would be better to map the colors in a linear manor possibly lexicographically and then distribute them evenly i really don t know how well this will work but it should since lets say p p n we know we have colors we can use a href http stackoverflow com questions using combinations of sets as test data buckles algorithm a to find the lexicographically indexed color img src http i stack imgur com geucs gif alt frac binom n i you ll probably have to edit the algorithm to avoid overflow and probably add some minor speed improvements p 
11,2008-08-02T23:40:04Z, p for my projects i alternate between sql compare from red gate and the database publishing wizard from microsoft which you can download free a href http www microsoft com downloads details aspx familyid e b c bf e a a e a amp displaylang en here a p p the wizard isn t as slick as sql compare or sql data compare but it does the trick one issue is that the scripts it generates may need some rearranging and or editing to flow in one shot p p on the up side it can move your schema and data which isn t bad for a free tool p 
12,2008-08-02T23:51:09Z, p i ve taken to hand coding all of my ddl creates alter delete statements adding them to my sln as text files and using normal versioning using subversion but any revision control should work this way i not only get the benefit of versioning but updating live from dev stage is the same process for code and database tags branches and so on work all the same p p otherwise i agree redgate is expensive if you don t have a company buying it for you if you can get a company to buy it for you though it really is worth it p 
13,2008-08-03T00:22:03Z, p if you have a company buying it toad from quest software has this kind of management functionality built in it s basically a two click operation to compare two schemas and generate a sync script from one to the other p p they have editions for most of the popular databases including of course sql server p 
